;title_uk;brand_uk;model_uk;price_uk (gbp);year_uk;kilometrage_uk;fuelType_uk;bodyType_uk;gearBox_uk;link_uk;brand_fr;model_fr;price_fr (eur);year_fr;kilometrage_fr;fuelType_fr;gearBox_fr;link_fr
52;Opel GT 2.0 litre 2 door coupe;Opel;GT 2.0;9450.0;2001;40233.5;;Coupe;Petrol;https://www.autotrader.co.uk/classified/advert/201905168013765;Ford;Mustang cabriolet;30592.0;2014;92984;ESSENCE;AUTOMATIQUE;http://www.leparking.fr//voiture-occasion-detail/ford-mustang-cabriolet/gt-cabriolet-5.0l/7LJYNOC9.html
53;Opel GT 2.0 litre 2 door coupe;Opel;GT 2.0;9450.0;2001;40233.5;;Coupe;Petrol;https://www.autotrader.co.uk/classified/advert/201905168013765;Ford;Mustang cabriolet;34900.0;2013;50392;ESSENCE;MANUELLE;http://www.leparking.fr//voiture-occasion-detail/ford-mustang-cabriolet/gt-cabriolet-5.0l/9GXDJHPQ.html
54;Opel GT 2.0 litre 2 door coupe;Opel;GT 2.0;9450.0;2001;40233.5;;Coupe;Petrol;https://www.autotrader.co.uk/classified/advert/201905168013765;Ford;Mustang cabriolet;28588.0;2013;133793;ESSENCE;AUTOMATIQUE;http://www.leparking.fr//voiture-occasion-detail/ford-mustang-cabriolet/gt-cabriolet-5.0l/A02B7SLZ.html
55;Opel GT 2.0 litre 2 door coupe;Opel;GT 2.0;9450.0;2001;40233.5;;Coupe;Petrol;https://www.autotrader.co.uk/classified/advert/201905168013765;Ford;Mustang cabriolet;33900.0;2014;80000;ESSENCE;MANUELLE;http://www.leparking.fr//voiture-occasion-detail/ford-mustang-cabriolet/gt-premium/9GRC68VQ.html
56;Opel GT 2.0 litre 2 door coupe;Opel;GT 2.0;9450.0;2001;40233.5;;Coupe;Petrol;https://www.autotrader.co.uk/classified/advert/201905168013765;Ford;Mustang;29900.0;2015;89300;ESSENCE;MANUELLE;http://www.leparking.fr//voiture-occasion-detail/ford-mustang-fastback/mustang-4-cyl-turbo-cuir-8l-100-300cv/NBDJC06K.html
57;Opel GT 2.0 litre 2 door coupe;Opel;GT 2.0;9450.0;2001;40233.5;;Coupe;Petrol;https://www.autotrader.co.uk/classified/advert/201905168013765;Ford;Mustang;31500.0;2015;61000;ESSENCE;MANUELLE;http://www.leparking.fr//voiture-occasion-detail/ford-mustang-fastback/300cv-4cyl-turbo-bvm6-premium-300cv/PFYFUAK2.html
58;Opel GT 2.0 litre 2 door coupe;Opel;GT 2.0;9450.0;2001;40233.5;;Coupe;Petrol;https://www.autotrader.co.uk/classified/advert/201905168013765;Ford;Mustang;24950.0;2014;119000;ESSENCE;MANUELLE;http://www.leparking.fr//voiture-occasion-detail/ford-mustang-fastback/mustang-v6-coupe-auto-premium-cuir-auto/G5LK2Y75.html
59;Opel GT 2.0 litre 2 door coupe;Opel;GT 2.0;9450.0;2001;40233.5;;Coupe;Petrol;https://www.autotrader.co.uk/classified/advert/201905168013765;Ford;Mustang cabriolet;26850.0;2014;85000;ESSENCE;MANUELLE;http://www.leparking.fr//voiture-occasion-detail/ford-mustang-cabriolet/mustang-cabriolet-v6-300cv-auto-premium-cuir/DCIKV7XZ.html
60;Opel GT 2.0 litre 2 door coupe;Opel;GT 2.0;9450.0;2001;40233.5;;Coupe;Petrol;https://www.autotrader.co.uk/classified/advert/201905168013765;Ford;Mustang;36000.0;2014;85000;ESSENCE;MANUELLE;http://www.leparking.fr//voiture-occasion-detail/ford-mustang/gt-5.0-bvm6-premium/LD65OB38.html
61;Opel GT 2.0 litre 2 door coupe;Opel;GT 2.0;9450.0;2001;40233.5;;Coupe;Petrol;https://www.autotrader.co.uk/classified/advert/201905168013765;Ford;Mustang;36000.0;2014;85000;ESSENCE;MANUELLE;http://www.leparking.fr//voiture-occasion-detail/ford-mustang-fastback/gt-5.0-bvm6-premium-cuir-en-option/H3TOWREC.html
62;Opel GT 2.0 litre 2 door coupe;Opel;GT 2.0;9450.0;2001;40233.5;;Coupe;Petrol;https://www.autotrader.co.uk/classified/advert/201905168013765;Ford;Mustang;29990.0;2013;114500;ESSENCE;MANUELLE;http://www.leparking.fr//voiture-occasion-detail/ford-mustang/gt-v8-coyote-5.0-425cv-prix-inclue-cgf/7LP393A9.html
63;Opel GT 2.0 litre 2 door coupe;Opel;GT 2.0;9450.0;2001;40233.5;;Coupe;Petrol;https://www.autotrader.co.uk/classified/advert/201905168013765;Ford;Mustang;46900.0;2013;75000;ESSENCE;-;http://www.leparking.fr//voiture-occasion-detail/ford-mustang/ford-mustang-v-2005-14-serie-2-gt-v8-5.0-occasion/CJUQ1ZOL.html
64;Opel GT 2.0 litre 2 door coupe;Opel;GT 2.0;9450.0;2001;40233.5;;Coupe;Petrol;https://www.autotrader.co.uk/classified/advert/201905168013765;Ford;Mustang;38990.0;2015;54000;ESSENCE;MANUELLE;http://www.leparking.fr//voiture-occasion-detail/ford-mustang-fastback/ford-mustang-v8-fastback/PFYJIIV2.html
65;Opel GT 2.0 litre 2 door coupe;Opel;GT 2.0;9450.0;2001;40233.5;;Coupe;Petrol;https://www.autotrader.co.uk/classified/advert/201905168013765;Ford;Mustang;38990.0;2015;54000;ESSENCE;MANUELLE;http://www.leparking.fr//voiture-occasion-detail/ford-mustang-fastback/fastback-v8-5.0-421-gt/KJZQ0XMQ.html
