;title_uk;brand_uk;model_uk;price_uk (gbp);year_uk;kilometrage_uk;fuelType_uk;bodyType_uk;gearBox_uk;link_uk;keep_uk
2;Saab 900 1992 900i 16v 2.0;Saab;900 1992;3400.0;1992;104607.1;;Saloon;Petrol;https://www.autotrader.co.uk/classified/advert/201906159038545;True
7;Porsche Panamera 3.0 TD V6 Tiptronic 5dr;Porsche;Panamera 3.0;27999.0;2013;77248.31999999999;;Hatchback;Diesel;https://www.autotrader.co.uk/classified/advert/201910073043903;True
8;Citroen C3 Left Hand Drive, Currently on French Plates LEFT HAND …;Citroen;C3 Left;5990.0;2014;96560.4;;Hatchback;Petrol;https://www.autotrader.co.uk/classified/advert/201909252606871;True
12;Hummer H2 6.2 V8 Luxury 5dr;Hummer;H2 6.2;17000.0;2006;94774.0326;;SUV;Petrol;https://www.autotrader.co.uk/classified/advert/201909132180743;True
17;Ford Mustang 5.0 V8 GT Fastback 2dr;Ford;Mustang 5.0;25495.0;2015;104608.70934;;Coupe;Petrol;https://www.autotrader.co.uk/classified/advert/201909031827363;True
18;Opel GT 2.0 litre 2 door coupe;Opel;GT 2.0;9450.0;2001;40233.5;;Coupe;Petrol;https://www.autotrader.co.uk/classified/advert/201905168013765;True
