;title_uk;brand_uk;model_uk;price_uk (gbp);year_uk;kilometrage_uk;fuelType_uk;bodyType_uk;gearBox_uk;link_uk;brand_fr;model_fr;price_fr (eur);year_fr;kilometrage_fr;fuelType_fr;gearBox_fr;link_fr
15;Porsche Panamera 3.0 TD V6 Tiptronic 5dr;Porsche;Panamera 3.0;27999.0;2013;77248.31999999999;;Hatchback;Diesel;https://www.autotrader.co.uk/classified/advert/201910073043903;Porsche;Panamera;42000.0;2013;88000;DIESEL;AUTOMATIQUE;http://www.leparking.fr//voiture-occasion-detail/porsche-panamera/porsche-panamera-platinium-edition-v6-3.0-250ch/JJX0D6EF.html
16;Porsche Panamera 3.0 TD V6 Tiptronic 5dr;Porsche;Panamera 3.0;27999.0;2013;77248.31999999999;;Hatchback;Diesel;https://www.autotrader.co.uk/classified/advert/201910073043903;Porsche;Panamera;39490.0;2012;93000;DIESEL;AUTOMATIQUE;http://www.leparking.fr//voiture-occasion-detail/porsche-panamera/porsche-panamera-porche-panamera-3.0-diesel/FE5L1G0J.html
17;Porsche Panamera 3.0 TD V6 Tiptronic 5dr;Porsche;Panamera 3.0;27999.0;2013;77248.31999999999;;Hatchback;Diesel;https://www.autotrader.co.uk/classified/advert/201910073043903;Porsche;Panamera;42490.0;2013;104242;HYBRIDE;AUTOMATIQUE;http://www.leparking.fr//voiture-occasion-detail/porsche-panamera-s//JJAFWEEF.html
18;Porsche Panamera 3.0 TD V6 Tiptronic 5dr;Porsche;Panamera 3.0;27999.0;2013;77248.31999999999;;Hatchback;Diesel;https://www.autotrader.co.uk/classified/advert/201910073043903;Porsche;Panamera;43000.0;2013;76082;DIESEL;AUTOMATIQUE;http://www.leparking.fr//voiture-occasion-detail/porsche-panamera/3.0-td-250-platinum-edition/3KAXHPY1.html
19;Porsche Panamera 3.0 TD V6 Tiptronic 5dr;Porsche;Panamera 3.0;27999.0;2013;77248.31999999999;;Hatchback;Diesel;https://www.autotrader.co.uk/classified/advert/201910073043903;Porsche;Panamera;35990.0;2011;103000;DIESEL;MANUELLE;http://www.leparking.fr//voiture-occasion-detail/porsche-panamera/porsche-panamera-970-3.0-diesel/H3CGBWAC.html
20;Porsche Panamera 3.0 TD V6 Tiptronic 5dr;Porsche;Panamera 3.0;27999.0;2013;77248.31999999999;;Hatchback;Diesel;https://www.autotrader.co.uk/classified/advert/201910073043903;Porsche;Panamera;39900.0;2015;89800;DIESEL;AUTOMATIQUE;http://www.leparking.fr//voiture-occasion-detail/porsche-panamera/2-3.0-td-300-edition/ZC46UX44.html
21;Porsche Panamera 3.0 TD V6 Tiptronic 5dr;Porsche;Panamera 3.0;27999.0;2013;77248.31999999999;;Hatchback;Diesel;https://www.autotrader.co.uk/classified/advert/201910073043903;Porsche;Panamera;33990.0;2011;116900;DIESEL;AUTOMATIQUE;http://www.leparking.fr//voiture-occasion-detail/porsche-panamera/porsche-panamera-v6-3.0-d-250-tiptronic-s/VVG6GKW8.html
22;Porsche Panamera 3.0 TD V6 Tiptronic 5dr;Porsche;Panamera 3.0;27999.0;2013;77248.31999999999;;Hatchback;Diesel;https://www.autotrader.co.uk/classified/advert/201910073043903;Porsche;Panamera;49000.0;2013;75000;HYBRIDE;AUTOMATIQUE;http://www.leparking.fr//voiture-occasion-detail/porsche-panamera/porsche-panamera-v6-3.0-380-ch-s-hybride/H313LS2C.html
23;Porsche Panamera 3.0 TD V6 Tiptronic 5dr;Porsche;Panamera 3.0;27999.0;2013;77248.31999999999;;Hatchback;Diesel;https://www.autotrader.co.uk/classified/advert/201910073043903;Porsche;Panamera;48500.0;2014;110000;ESSENCE;AUTOMATIQUE;http://www.leparking.fr//voiture-occasion-detail/porsche-panamera-s/2-v6-3.0-416-s-e-hybrid/T5AHTG32.html
24;Porsche Panamera 3.0 TD V6 Tiptronic 5dr;Porsche;Panamera 3.0;27999.0;2013;77248.31999999999;;Hatchback;Diesel;https://www.autotrader.co.uk/classified/advert/201910073043903;Porsche;Panamera;48500.0;2014;111000;HYBRIDE;AUTOMATIQUE;http://www.leparking.fr//voiture-occasion-detail/porsche-panamera/porsche-panamera-2-v6-3.0-416-s-e-hybrid/ZC4RPK04.html
25;Porsche Panamera 3.0 TD V6 Tiptronic 5dr;Porsche;Panamera 3.0;27999.0;2013;77248.31999999999;;Hatchback;Diesel;https://www.autotrader.co.uk/classified/advert/201910073043903;Porsche;Panamera;35000.0;2012;94000;DIESEL;AUTOMATIQUE;http://www.leparking.fr//voiture-occasion-detail/porsche-panamera/panamera-3litres-diesel/8UK8XMK4.html
26;Porsche Panamera 3.0 TD V6 Tiptronic 5dr;Porsche;Panamera 3.0;27999.0;2013;77248.31999999999;;Hatchback;Diesel;https://www.autotrader.co.uk/classified/advert/201910073043903;Porsche;Panamera;42990.0;2014;90000;DIESEL;AUTOMATIQUE;http://www.leparking.fr//voiture-occasion-detail/porsche-panamera/2-3.0-td-300/DCI4IT4Z.html
